"id_plot","species","ba","dist","alt_dif","sppt","reg_ilex","reg_fag","spp3","spp12","utm_x","utm_y","twi","land_use"
86,"q_faginea",0.0425,442.6956248,62.4613444466667,1.82097604709647e-06,3,2,0,1.82097604709647e-06,484647,4537912,5.810102348,"A"
87,"q_faginea",0.0278,477.67784485,76.27398716,1.0514308572465e-06,10,3,0,1.0514308572465e-06,484707,4537912,5.044889917,"A"
90,"q_faginea",0.0277,472.136713,80.46606439,1.07218060036799e-06,10,3,0,1.07218060036799e-06,484887,4537912,5.392027569,"M"
91,"q_faginea",0.0277,416.1653324,83.28100539,1.32035597397095e-06,9,0,0,1.32035597397095e-06,484947,4537912,5.316689024,"M"
92,"q_faginea",0.1912,384.427461690909,58.4889411336364,1.09083989332165e-05,18,0,0,1.09083989332165e-05,484467,4537852,4.76481432,"A"
93,"q_faginea",0.1644,406.76731549,71.591479047,8.39109171091681e-06,15,2,0,8.39109171091681e-06,484527,4537852,5.011008757,"A"
94,"q_faginea",0.1087,418.746255371429,86.2699843285714,5.2145437611362e-06,14,3,0,5.2145437611362e-06,484587,4537852,5.008452816,"A"
95,"q_faginea",0.0616,432.922383,85.34152266,2.74763708711191e-06,14,3,0,2.74763708711191e-06,484647,4537852,5.459729948,"A"
96,"q_faginea",0.0278,449.67138255,85.71197516,1.17429540910747e-06,12,2,0,1.17429540910747e-06,484707,4537852,5.499931755,"A"
97,"q_faginea",0.0169,488.6087923,100.1779789,6.18159569092313e-07,6,0,0,6.18159569092313e-07,484767,4537852,5.688888273,"A"
99,"q_faginea",0.0277,495.7128222,87.33203139,9.89350134815437e-07,8,0,0,9.89350134815437e-07,484887,4537852,5.590532913,"M"
100,"q_faginea",0.0277,442.7320982,86.83398439,1.19219447060028e-06,3,1,0,1.19219447060028e-06,484947,4537852,5.405110674,"M"
101,"q_faginea",0.0277,391.7881335,86.27001939,1.45863006358281e-06,1,0,0,1.45863006358281e-06,485007,4537852,5.118065329,"M"
102,"q_faginea",0.236,392.930987592308,83.7750576823077,1.26745069756199e-05,1,0,0,1.26745069756199e-05,484527,4537792,5.058420544,"A"
103,"q_faginea",0.1644,406.01319887,96.970508053,8.30905861490421e-06,7,2,0,8.30905861490421e-06,484587,4537792,4.230623255,"A"
104,"q_faginea",0.1644,451.82460332,107.675464054,6.92593723538171e-06,18,1,0,6.92593723538171e-06,484647,4537792,4.5301511,"A"
105,"q_faginea",0.0469,449.2688444,107.108642886667,1.9886684839105e-06,26,1,0,1.9886684839105e-06,484707,4537792,5.168340578,"A"
106,"q_faginea",0.0169,455.5367823,103.7550049,6.93941742717736e-07,20,0,0,6.93941742717736e-07,484767,4537792,7.043480339,"A"
109,"q_faginea",0.0277,475.431974,83.44104039,1.05994646926148e-06,4,0,0,1.05994646926148e-06,484947,4537792,5.434002228,"M"
110,"q_faginea",0.0277,428.3944366,80.10998539,1.25874414214178e-06,9,0,0,1.25874414214178e-06,485007,4537792,5.317808113,"M"
114,"q_faginea",0.1322,465.109302425,114.79440281875,5.31744801292078e-06,11,1,0,5.31744801292078e-06,484707,4537732,5.104117622,"A"
115,"q_faginea",0.0169,428.362801,104.1450199,7.68063837107491e-07,13,1,0,7.68063837107491e-07,484767,4537732,5.578508434,"A"
116,"q_faginea",0.0169,484.040317,103.3330079,6.27815695704114e-07,5,0,0,6.27815695704114e-07,484827,4537732,5.70884553,"M"
119,"q_faginea",0.0277,469.8418559,64.01000939,1.0808351464674e-06,10,0,0,1.0808351464674e-06,485007,4537732,5.629135466,"M"
122,"q_faginea",1.7184,449.255496397059,89.0758988244118,6.80572127882551e-05,15,0,2.8750619533196e-05,3.93065932550591e-05,484647,4537672,5.928853436,"A"
123,"q_faginea",0.4216,459.757221547059,104.449269456471,1.67787439990522e-05,0,0,0,1.67787439990522e-05,484707,4537672,5.830750284,"A"
124,"q_faginea",0.0839,470.01378595,104.75048815,3.25748496339591e-06,13,0,0,3.25748496339591e-06,484767,4537672,5.694265223,"M"
125,"q_faginea",0.0169,466.3493096,101.7060549,6.67594879051568e-07,6,0,0,6.67594879051568e-07,484827,4537672,6.175521612,"M"
129,"q_faginea",9.9789,410.644540357353,43.8372659155441,0.000512477741875924,21,0,0.000181591325777536,0.000330886416098388,484467,4537612,4.095441561,"M"
130,"q_faginea",9.5428,426.360235273958,58.9315173562344,0.000453907867592717,26,3,0.000167728128965181,0.000286179738627536,484527,4537612,5.722343512,"A"
131,"q_faginea",8.1259,440.445596328205,76.1318575508333,0.000360942018286355,16,0,0.000151284375990289,0.000209657642296066,484587,4537612,5.533221016,"A"
132,"q_faginea",6.6376,460.090249380172,87.9630657749138,0.000270071827352104,11,0,0.00011964185803918,0.000150429969312924,484647,4537612,5.461245165,"A"
133,"q_faginea",3.1507,460.925146412245,95.4063645795918,0.000123307989975849,18,0,6.68861756850839e-05,5.64218142907648e-05,484707,4537612,4.646941881,"A"
134,"q_faginea",0.5445,472.119366742857,99.339506197619,2.09859404527037e-05,7,0,0,2.09859404527037e-05,484767,4537612,6.209155445,"M"
135,"q_faginea",0.0971,469.33538314,87.842456438,3.75315871674754e-06,9,0,0,3.75315871674754e-06,484827,4537612,5.591650963,"M"
136,"q_faginea",0.0323,465.79793325,67.637023465,1.27786683017737e-06,8,1,0,1.27786683017737e-06,484887,4537612,4.558266511,"M"
137,"q_faginea",0.0323,482.69860115,54.050964465,1.20626292028346e-06,7,0,0,1.20626292028346e-06,484947,4537612,4.792424345,"M"
138,"q_faginea",16.0799,376.083828788252,53.2211077183374,0.000896170649821882,9,2,0.00043438923426834,0.000461781415553543,484467,4537552,4.795864477,"A"
139,"q_faginea",13.0119,388.837499450667,68.17377858852,0.000702343272466884,20,0,0.000308894607237524,0.00039344866522936,484527,4537552,5.586290703,"A"
140,"q_faginea",10.6766,411.223036436538,81.5701200315385,0.000540697026665551,21,2,0.000209732048146954,0.000330964978518597,484587,4537552,5.265277882,"M"
141,"q_faginea",9.2193,438.067752432065,95.8897963843478,0.000422247954875928,20,3,0.000160570815866135,0.000261677139009793,484647,4537552,5.418395386,"A"
142,"q_faginea",6.6524,453.236622221488,96.0942772205785,0.000279701425920982,7,0,0.000112794077836508,0.000166907348084475,484707,4537552,5.731002312,"M"
143,"q_faginea",3.2484,463.421334742308,93.0330739257692,0.000128308927521459,5,0,6.80274001051186e-05,6.02815274163409e-05,484767,4537552,5.531543493,"M"
144,"q_faginea",0.5063,464.575189294118,85.3487731105882,1.98457328325857e-05,9,0,0,1.98457328325857e-05,484827,4537552,5.073056221,"M"
145,"q_faginea",0.1256,450.1456898,72.271545098,5.24507540435841e-06,9,0,0,5.24507540435841e-06,484887,4537552,4.107022333,"M"
146,"q_faginea",0.1073,455.686166575,49.422729,4.32168707607895e-06,3,0,0,4.32168707607895e-06,484947,4537552,6.814840975,"M"
148,"q_faginea",18.3541,340.692174070863,50.5880885150036,0.00125092109088856,9,0,0.000590778873082067,0.00066014221780649,484467,4537492,5.044864912,"A"
149,"q_faginea",17.1106,359.601056353208,67.478760613083,0.001057406077683,27,3,0.000520969384939937,0.000536436692743063,484527,4537492,6.121269321,"A"
150,"q_faginea",16.0921,382.159276687347,82.6816634797959,0.000876744801549732,14,0,0.000429028205398337,0.000447716596151395,484587,4537492,5.031189575,"A"
151,"q_faginea",12.0579,407.187569086512,97.3729271151628,0.000613254759441821,18,2,0.000258417274499559,0.000354837484942262,484647,4537492,4.681690006,"A"
152,"q_faginea",8.9333,432.185927313609,97.6392512360355,0.000415054946621188,0,0,0.000159893626540084,0.000255161320081103,484707,4537492,4.422696476,"M"
153,"q_faginea",6.5071,455.219097070339,84.9678745337288,0.000271300218105315,12,1,0.000110435060210056,0.000160865157895258,484767,4537492,5.283275185,"M"
154,"q_faginea",2.8549,457.618276891892,77.7253382862162,0.000111223413777639,10,3,6.56127932551067e-05,4.5610620522532e-05,484827,4537492,4.911108809,"M"
155,"q_faginea",0.2226,434.0309341,64.2452798,1.01915486851057e-05,3,0,0,1.01915486851057e-05,484887,4537492,4.635910888,"M"
156,"q_faginea",19.6631,274.172912152852,28.1369511835,0.0019827194493506,22,3,0.0009642972040462,0.0010184222453044,484407,4537432,5.124374895,"A"
157,"q_faginea",19.7034,294.86406737614,47.7922865956596,0.00174445648696722,13,0,0.000850992114225763,0.000893464372741452,484467,4537432,4.788984394,"A"
158,"q_faginea",18.9387,323.499662062324,65.1355369618556,0.00144662405490288,11,0,0.000692390532075732,0.000754233522827146,484527,4537432,4.919582224,"A"
159,"q_faginea",17.3118,353.685617315441,78.7923878833713,0.00113407565433814,14,0,0.000553023956424014,0.000581051697914122,484587,4537432,5.424833307,"A"
160,"q_faginea",16.0983,381.989005426531,94.2406195573878,0.000887837333963307,12,1,0.000432173590128189,0.000455663743835118,484647,4537432,4.552102413,"A"
161,"q_faginea",11.9103,411.942668896635,94.2813330933173,0.000593356057359885,10,0,0.000249612255098414,0.000343743802261471,484707,4537432,4.077820387,"M"
162,"q_faginea",7.5969,433.066565842759,68.9239615816552,0.000349936984014683,13,0,0.000124963530111486,0.000224973453903196,484767,4537432,6.770877452,"M"
163,"q_faginea",4.9669,460.120576170968,69.5160783024731,0.000204002995029367,10,0,7.29339924240492e-05,0.000131069002605318,484827,4537432,4.488664761,"M"
164,"q_faginea",1.3286,446.36289078,62.470135436,5.21435670557987e-05,9,0,2.72180645068747e-05,2.4925502548924e-05,484887,4537432,4.302135496,"M"
165,"q_faginea",6.4146,445.914856058678,59.2642271657851,0.000279261563231815,12,0,9.52179297970381e-05,0.000184043633434777,484827,4537372,4.485169125,"M"
166,"q_faginea",2.9736,450.848131139474,58.0567373326316,0.000118486254424689,11,6,6.47368449672417e-05,5.37494094574472e-05,484887,4537372,3.948079834,"M"
1,"q_ilex",2.4361,380.894639867333,39.3200160212133,0.000177427336781988,8,0,0,0.000177427336781988,484647,4538512,5.670741873,"M"
2,"q_ilex",1.7829,397.69307344955,15.4554882563964,0.000112566091610287,7,1,0,0.000112566091610287,484707,4538512,5.23927948,"M"
3,"q_ilex",1.194,401.827189856522,-11.9506763134928,6.92605571960937e-05,13,0,0,6.92605571960937e-05,484767,4538512,6.349681892,"M"
5,"q_ilex",5.8943,398.119594238063,60.9070559177746,0.000391599062927461,0,0,0,0.000391599062927461,484587,4538452,5.171092081,"M"
6,"q_ilex",2.9846,390.085571207143,42.2174539745659,0.000199210879901716,9,0,0,0.000199210879901716,484647,4538452,5.673100777,"M"
7,"q_ilex",2.2096,403.551016256589,16.1538127362558,0.000129297074234941,1,0,0,0.000129297074234941,484707,4538452,4.740526383,"M"
8,"q_ilex",1.5873,413.885356755814,-7.55722954209302,8.33169581809773e-05,1,0,0,8.33169581809773e-05,484767,4538452,5.317805786,"M"
9,"q_ilex",44.9748,388.568407552224,58.664178146,0.00333585484366907,10,0,0.000719501808250346,0.00265052284949461,484407,4538392,5.568288069,"A"
10,"q_ilex",30.2267,402.858209165681,75.0251989431443,0.00180774974855223,16,0,0.000323209335547618,0.00148454041300461,484467,4538392,4.682476354,"A"
11,"q_ilex",15.9339,406.786534816633,74.7738252199956,0.000964989553542783,4,0,5.33384672484951e-05,0.000911651086294288,484527,4538392,5.149321032,"A"
12,"q_ilex",8.1706,407.015872436475,63.685560552395,0.000478487595968878,11,0,2.05284116124454e-05,0.000457959184356432,484587,4538392,5.487672162,"M"
13,"q_ilex",3.8624,400.927469210667,38.7725742706178,0.000234010434653911,3,0,0,0.000234010434653911,484647,4538392,5.531063805,"M"
14,"q_ilex",2.3313,401.718662040146,9.53478508653285,0.000135779874076835,6,0,0,0.000135779874076835,484707,4538392,5.46776329,"M"
15,"q_ilex",1.7087,410.582345473333,-12.2395796648667,8.92225275939228e-05,1,0,0,8.92225275939228e-05,484767,4538392,5.745573082,"M"
17,"q_ilex",49.9151,382.921690811693,68.7173309072259,0.00338092943899837,10,0,0.00084066477076073,0.00257456892838467,484407,4538332,4.822572289,"M"
18,"q_ilex",36.6658,397.340237050539,81.1438625230166,0.00214224472201022,4,0,0.000509618734958866,0.00163262598705135,484467,4538332,4.624489546,"M"
19,"q_ilex",22.5558,408.772967340427,78.8909060689075,0.00121429794442868,3,0,0.000201293762486973,0.00101300418194171,484527,4538332,5.213829679,"M"
21,"q_ilex",5.159,410.024359936059,36.2593134198178,0.000286593811578651,7,0,0,0.000286593811578651,484647,4538332,4.920506868,"M"
22,"q_ilex",2.7594,407.242696660131,4.21215289370588,0.000155005171177568,2,0,0,0.000155005171177568,484707,4538332,4.991032419,"M"
23,"q_ilex",1.9009,405.329109621348,-19.6609088480674,9.85427135168983e-05,1,1,0,9.85427135168983e-05,484767,4538332,5.097006645,"M"
24,"q_ilex",1.3189,418.319118893548,-17.0358054311613,6.32409513212159e-05,3,0,0,6.32409513212159e-05,484827,4538332,5.501200781,"M"
25,"q_ilex",64.9429,355.641338879542,53.8865640430282,0.00491874925353021,8,0,0.00131466394408131,0.00364611841436151,484347,4538272,4.516508551,"M"
26,"q_ilex",52.9423,376.810305702481,72.2780894527211,0.0069977478848206,5,0,0.000927148291046565,0.00610405021799978,484407,4538272,5.013035955,"M"
